UCWF,UCWDP,UCFDP,UCFMS,UCFMEP,UCAF,UCFMC,UCMVB,UCAH,UCFS,UCFVB,UCFMV,UCFMT,UCHC,UCHAH,UCHV,MVWF2,MVCV,MVDP,MVWF1,MVWF1.setting,MVSO,MVOT,CPPR,CPHE,CPMEP,CPCF,CPHP,CPMC,CPAH,CPMV,CPMT,CPSP,CPDP,UCSDP,AMBH,AMBT,UCAIH,UCAIT,UCAOH,UCAOT,UCWIT,UCWOT,timestamp,experiment_id,season,T_initial,T_setpoint,frequency_factor
0,7,101.1,1395,133,1378,1.06,1.2,42,1440,1.39,353,35.4,3.096,2,408.0,0,-0.05,0,1,1,0,0,29,0,2,0,1,0.006,2.4,406.8,0,67,97,13.19,67,18.7,70.03,17.98,79.82,16.63,10.37,15.59,1970-01-01 00:00:00.000000015,DS05,winter,18.7,28.0,
-2,5,98.17,1395,122,1357,1.07,1.36,62,1418,1.64,353,41.8,3.071,4,404.5,-2,-0.05,2,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.0,0,66,103,14.65,51,22.13,51.93,21.85,49.96,22.19,13.05,17.64,1970-01-01 00:00:00.000000015,DS04,winter,22.13,27.0,
-3,7,100.61,1395,131,1374,1.07,1.39,62,1418,1.64,353,41.7,3.074,4,404.5,-3,-0.05,3,1,1,0,0,36,0,4,0,-1,0.007,2.9,403.0,0,66,103,14.65,51,22.13,51.93,21.85,49.96,22.22,13.0,17.64,1970-01-01 00:00:00.000000016,DS04,winter,22.13,27.0,
0,7,99.15,1395,127,1364,1.06,1.34,42,1440,1.73,353,35.3,3.097,2,407.7,0,-0.05,0,1,1,0,0,28,0,2,0,1,0.006,2.4,406.8,0,68,97,13.19,67,18.69,70.03,17.98,79.84,16.6,10.37,15.59,1970-01-01 00:00:00.000000016,DS05,winter,18.7,28.0,
-1,5,100.12,1395,128,1371,1.07,1.25,62,1421,1.58,353,41.7,3.074,4,404.5,-1,-0.05,1,1,1,0,0,36,0,4,0,-1,0.007,2.9,403.3,0,66,103,14.16,51,22.13,51.93,21.85,49.96,22.18,13.05,17.64,1970-01-01 00:00:00.000000017,DS04,winter,22.13,27.0,
-1,7,100.61,1395,127,1374,1.06,1.18,42,1432,1.66,353,35.3,3.097,2,407.8,-1,-0.05,1,1,1,0,0,28,0,2,0,1,0.006,2.4,406.8,0,68,97,13.19,67,18.7,70.03,17.98,79.86,16.6,10.37,15.59,1970-01-01 00:00:00.000000017,DS05,winter,18.7,28.0,
-1,6,103.05,1395,128,1391,1.07,1.17,62,1420,1.71,353,41.7,3.074,4,404.5,-1,-0.05,1,1,1,0,0,36,0,4,0,-1,0.007,2.9,403.3,0,66,103,14.65,51,22.13,51.93,21.85,49.96,22.23,13.05,17.64,1970-01-01 00:00:00.000000018,DS04,winter,22.13,27.0,
0,6,100.61,1395,129,1374,1.05,1.26,42,1418,1.75,353,35.3,3.092,2,407.8,0,-0.05,0,1,1,0,0,28,0,2,0,1,0.006,2.4,406.6,0,68,97,13.19,67,18.7,70.03,17.98,79.84,16.64,10.37,15.59,1970-01-01 00:00:00.000000018,DS05,winter,18.7,28.0,
-1,6,101.1,1395,122,1378,1.06,1.32,62,1420,1.59,353,41.8,3.072,4,404.5,-1,-0.05,1,1,1,0,0,36,0,4,0,-1,0.007,2.9,404.0,0,66,103,14.16,51,22.13,51.93,21.85,49.93,22.19,13.05,17.64,1970-01-01 00:00:00.000000019,DS04,winter,22.13,27.0,
-1,7,99.15,1395,130,1364,1.06,1.29,42,1432,1.54,353,35.4,3.092,2,407.8,-1,-0.05,1,1,1,0,0,27,0,2,0,1,0.006,2.4,406.6,0,69,96,13.19,67,18.7,70.03,17.98,79.86,16.6,10.37,15.59,1970-01-01 00:00:00.000000019,DS05,winter,18.7,28.0,
-1,6,100.12,1395,126,1371,1.07,1.48,62,1420,1.6,353,41.7,3.069,4,404.8,-1,-0.05,1,1,1,0,0,36,0,4,0,-1,0.008,2.9,404.0,0,66,103,14.16,51,22.13,51.93,21.85,49.93,22.23,13.05,17.64,1970-01-01 00:00:00.000000020,DS04,winter,22.13,27.0,
-1,6,100.12,1395,124,1371,1.06,1.29,42,1432,1.63,353,35.3,3.091,2,407.1,-1,-0.05,1,1,1,0,0,28,0,2,0,1,0.006,2.4,406.3,0,68,97,13.19,67,18.7,70.03,17.98,79.86,16.63,10.37,15.59,1970-01-01 00:00:00.000000020,DS05,winter,18.7,28.0,
-1,6,101.59,1395,119,1381,1.07,1.4,62,1418,1.66,353,41.7,3.072,4,404.4,-1,-0.05,1,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.4,0,66,103,14.16,51,22.13,51.93,21.85,49.93,22.21,13.05,17.64,1970-01-01 00:00:00.000000021,DS04,winter,22.13,27.0,
-1,7,98.17,1395,121,1357,1.06,1.33,42,1432,1.65,353,35.4,3.091,2,407.1,-1,-0.05,1,1,1,0,0,28,0,2,0,1,0.006,2.4,406.4,0,67,98,13.19,67,18.7,70.03,17.98,79.86,16.63,10.37,15.59,1970-01-01 00:00:00.000000021,DS05,winter,18.7,28.0,
0,6,102.08,1395,130,1384,1.05,1.14,42,1420,1.67,353,35.3,3.093,2,407.4,0,-0.05,0,1,1,0,0,30,0,2,0,1,0.008,2.4,406.4,0,67,98,13.19,67,18.7,70.1,17.98,79.84,16.63,10.37,15.59,1970-01-01 00:00:00.000000022,DS05,winter,18.7,28.0,
-3,6,102.08,1395,125,1384,1.07,1.34,62,1418,1.72,353,41.7,3.072,4,404.4,-3,-0.05,3,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.4,0,66,103,14.65,51,22.13,51.93,21.85,49.93,22.21,13.15,17.64,1970-01-01 00:00:00.000000022,DS04,winter,22.13,27.0,
-1,7,97.68,1395,120,1354,1.06,1.3,42,1430,1.62,353,35.3,3.09,2,407.4,-1,-0.05,1,1,1,0,0,28,0,2,0,1,0.008,2.4,406.4,0,68,96,13.19,67,18.69,70.1,17.98,79.86,16.63,10.37,15.59,1970-01-01 00:00:00.000000023,DS05,winter,18.7,28.0,
-2,6,99.15,1395,129,1364,1.06,1.37,62,1418,1.53,353,41.7,3.07,4,404.8,-2,-0.05,2,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.7,0,66,103,14.65,51,22.13,51.93,21.85,49.93,22.19,13.15,17.64,1970-01-01 00:00:00.000000023,DS04,winter,22.13,27.0,
-2,5,101.59,1395,130,1381,1.05,1.26,62,1418,1.72,353,41.8,3.07,4,404.7,-2,-0.05,2,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.6,0,66,103,14.65,51,22.13,51.93,21.85,49.91,22.23,13.15,17.64,1970-01-01 00:00:00.000000024,DS04,winter,22.13,27.0,
